"day","sw_name","percent"
2023-05-24 08:00:00,调味发酵品II,0.166
2023-05-24 08:00:00,影视院线II,0.166
2023-05-24 08:00:00,油服工程II,0.166
2023-05-23 08:00:00,电网设备II,7.41
2023-05-23 08:00:00,汽车零部件II,6.92
2023-05-23 08:00:00,通用机械II,6.76
2023-05-23 08:00:00,化学制药II,6.12
2023-05-23 08:00:00,专用设备II,5.80
2023-05-23 08:00:00,电力II,4.19
2023-05-23 08:00:00,中药II,4.03
2023-05-23 08:00:00,服装家纺II,3.22
2023-05-23 08:00:00,自动化设备II,3.06
2023-05-23 08:00:00,医疗器械II,3.06
2023-05-23 08:00:00,化学制品II,2.42
2023-05-23 08:00:00,环境治理II,2.09
2023-05-23 08:00:00,家用轻工II,1.61
2023-05-23 08:00:00,通信设备II,1.45
2023-05-23 08:00:00,光学光电子II,1.45
2023-05-23 08:00:00,风电设备II,1.45
2023-05-23 08:00:00,生物制品II,1.45
2023-05-23 08:00:00,一般零售II,1.29
2023-05-23 08:00:00,医药商业II,1.29
2023-05-23 08:00:00,电机II,1.29
2023-05-23 08:00:00,航空装备II,1.29
2023-05-23 08:00:00,纺织制造II,1.13
2023-05-23 08:00:00,船舶制造II,0.966
2023-05-23 08:00:00,饮料乳品II,0.966
2023-05-23 08:00:00,燃气II,0.966
2023-05-23 08:00:00,环保设备II,0.966
2023-05-23 08:00:00,电源设备II,0.805
2023-05-23 08:00:00,计算机设备II,0.805
2023-05-23 08:00:00,物流II,0.805
2023-05-23 08:00:00,农化制品II,0.805
2023-05-23 08:00:00,运输设备II,0.805
2023-05-23 08:00:00,电子制造II,0.805
2023-05-23 08:00:00,个护用品II,0.805
2023-05-23 08:00:00,教育II,0.644
2023-05-23 08:00:00,休闲食品II,0.644
2023-05-23 08:00:00,医疗服务II,0.644
2023-05-23 08:00:00,光伏设备II,0.644
2023-05-23 08:00:00,IT服务II,0.644
2023-05-23 08:00:00,Nan,0.644
2023-05-23 08:00:00,小家电II,0.644
2023-05-23 08:00:00,装修装饰II,0.644
2023-05-23 08:00:00,农产品加工II,0.644
2023-05-23 08:00:00,其他建材II,0.644
2023-05-23 08:00:00,塑料II,0.644
2023-05-23 08:00:00,广告营销II,0.483
2023-05-23 08:00:00,铁路公路II,0.483
2023-05-23 08:00:00,其他电子II,0.483
2023-05-23 08:00:00,房地产开发II,0.483
2023-05-23 08:00:00,互联网电商II,0.483
2023-05-23 08:00:00,专业服务II,0.483
2023-05-23 08:00:00,专业工程II,0.483
2023-05-23 08:00:00,化妆品II,0.483
2023-05-23 08:00:00,军工电子II,0.483
2023-05-23 08:00:00,非白酒II,0.483
2023-05-23 08:00:00,基础建设II,0.483
2023-05-23 08:00:00,家电零部件II,0.483
2023-05-23 08:00:00,包装印刷II,0.483
2023-05-23 08:00:00,造纸II,0.483
2023-05-23 08:00:00,游戏II,0.322
2023-05-23 08:00:00,软件开发II,0.322
2023-05-23 08:00:00,特钢II,0.322
2023-05-23 08:00:00,航天装备II,0.322
2023-05-23 08:00:00,电池II,0.322
2023-05-23 08:00:00,工业金属II,0.322
2023-05-23 08:00:00,工程咨询服务II,0.322
2023-05-23 08:00:00,工程机械II,0.322
2023-05-23 08:00:00,专业零售II,0.322
2023-05-23 08:00:00,化学纤维II,0.322
2023-05-23 08:00:00,渔业II,0.322
2023-05-23 08:00:00,金属非金属新材料II,0.322
2023-05-23 08:00:00,通信运营II,0.161
2023-05-23 08:00:00,电子化学品II,0.161
2023-05-23 08:00:00,数字媒体II,0.161
2023-05-23 08:00:00,白酒II,0.161
2023-05-23 08:00:00,出版II,0.161
2023-05-23 08:00:00,半导体II,0.161
2023-05-23 08:00:00,种植业II,0.161
2023-05-23 08:00:00,普钢II,0.161
2023-05-23 08:00:00,食品加工II,0.161
2023-05-23 08:00:00,贸易II,0.161
2023-05-23 08:00:00,文娱用品II,0.161
2023-05-23 08:00:00,橡胶II,0.161
2023-05-23 08:00:00,照明设备II,0.161
2023-05-23 08:00:00,多元金融II,0.161
2023-05-23 08:00:00,调味发酵品II,0.161
2023-05-23 08:00:00,冶钢原料II,0.161
2023-05-23 08:00:00,商用车II,0.161
2023-05-23 08:00:00,地面兵装II,0.161
2023-05-23 08:00:00,乘用车II,0.161
2023-05-23 08:00:00,其他交运设备II,0.161
2023-05-23 08:00:00,白色家电II,0.161
2023-05-23 08:00:00,综合II,0.161
2023-05-23 08:00:00,畜禽养殖II,0.161
2023-05-23 08:00:00,保险II,0.161
2023-05-23 08:00:00,汽车服务II,0.161
2023-05-22 08:00:00,电网设备II,7.95
2023-05-22 08:00:00,电力II,6.49
2023-05-22 08:00:00,通用机械II,6.33
2023-05-22 08:00:00,汽车零部件II,6.33
2023-05-22 08:00:00,专用设备II,5.19
2023-05-22 08:00:00,化学制药II,3.90
2023-05-22 08:00:00,自动化设备II,3.90
2023-05-22 08:00:00,服装家纺II,3.25
2023-05-22 08:00:00,医疗器械II,3.25
2023-05-22 08:00:00,化学制品II,2.27
2023-05-22 08:00:00,环境治理II,1.95
2023-05-22 08:00:00,中药II,1.95
2023-05-22 08:00:00,通信设备II,1.79
2023-05-22 08:00:00,光学光电子II,1.79
2023-05-22 08:00:00,计算机设备II,1.62
2023-05-22 08:00:00,风电设备II,1.46
2023-05-22 08:00:00,家用轻工II,1.46
2023-05-22 08:00:00,饮料乳品II,1.46
2023-05-22 08:00:00,电子制造II,1.30
2023-05-22 08:00:00,纺织制造II,1.30
2023-05-22 08:00:00,物流II,1.30
2023-05-22 08:00:00,医药商业II,1.14
2023-05-22 08:00:00,一般零售II,1.14
2023-05-22 08:00:00,航空装备II,1.14
2023-05-22 08:00:00,燃气II,1.14
2023-05-22 08:00:00,IT服务II,0.974
2023-05-22 08:00:00,电机II,0.974
2023-05-22 08:00:00,生物制品II,0.974
2023-05-22 08:00:00,化妆品II,0.812
2023-05-22 08:00:00,软件开发II,0.812
2023-05-22 08:00:00,铁路公路II,0.649
2023-05-22 08:00:00,医疗服务II,0.649
2023-05-22 08:00:00,房地产开发II,0.649
2023-05-22 08:00:00,农化制品II,0.649
2023-05-22 08:00:00,基础建设II,0.649
2023-05-22 08:00:00,专业服务II,0.649
2023-05-22 08:00:00,运输设备II,0.649
2023-05-22 08:00:00,家电零部件II,0.649
2023-05-22 08:00:00,工程咨询服务II,0.649
2023-05-22 08:00:00,包装印刷II,0.649
2023-05-22 08:00:00,电池II,0.649
2023-05-22 08:00:00,农产品加工II,0.649
